k,threshold,hit@k,recall@k,precision@k,mrr,lat_avg_ms,lat_p95_ms,hit@k_en,rec@k_en,mrr_en,hit@k_others,rec@k_others,mrr_others
3,0.2,0.475,0.475,0.4,0.4458,787.47,2649.09,0.5769,0.5769,0.5321,0.2857,0.2857,0.2857
3,0.3,0.475,0.475,0.4,0.4458,564.58,2245.01,0.5769,0.5769,0.5321,0.2857,0.2857,0.2857
3,0.4,0.475,0.475,0.4,0.4458,915.08,3924.99,0.5769,0.5769,0.5321,0.2857,0.2857,0.2857
3,0.6,0.475,0.475,0.4,0.4458,100.11,135.94,0.5769,0.5769,0.5321,0.2857,0.2857,0.2857
3,0.8,0.3,0.3,0.2583,0.2875,110.61,129.42,0.3462,0.3462,0.3269,0.2143,0.2143,0.2143
5,0.2,0.525,0.525,0.385,0.4571,111.89,338.16,0.5769,0.5769,0.5321,0.4286,0.4286,0.3179
5,0.3,0.525,0.525,0.385,0.4571,456.77,1571.49,0.5769,0.5769,0.5321,0.4286,0.4286,0.3179
5,0.4,0.525,0.525,0.385,0.4571,138.13,755.52,0.5769,0.5769,0.5321,0.4286,0.4286,0.3179
5,0.6,0.525,0.525,0.385,0.4571,364.22,1766.99,0.5769,0.5769,0.5321,0.4286,0.4286,0.3179
5,0.8,0.325,0.325,0.25,0.2938,915.73,4713.77,0.3462,0.3462,0.3269,0.2857,0.2857,0.2321
8,0.2,0.6,0.6,0.3906,0.4684,293.45,1112.21,0.6538,0.6538,0.544,0.5,0.5,0.3281
8,0.3,0.6,0.6,0.3906,0.4684,160.82,392.95,0.6538,0.6538,0.544,0.5,0.5,0.3281
8,0.4,0.6,0.6,0.3906,0.4684,285.62,823.12,0.6538,0.6538,0.544,0.5,0.5,0.3281
8,0.6,0.6,0.6,0.3906,0.4684,174.25,787.63,0.6538,0.6538,0.544,0.5,0.5,0.3281
8,0.8,0.35,0.35,0.2469,0.2979,279.55,1020.77,0.3846,0.3846,0.3333,0.2857,0.2857,0.2321
10,0.2,0.6,0.6,0.375,0.4684,156.07,449.22,0.6538,0.6538,0.544,0.5,0.5,0.3281
10,0.3,0.6,0.6,0.375,0.4684,229.1,864.35,0.6538,0.6538,0.544,0.5,0.5,0.3281
10,0.4,0.6,0.6,0.375,0.4684,666.83,3742.31,0.6538,0.6538,0.544,0.5,0.5,0.3281
10,0.6,0.6,0.6,0.375,0.4684,165.43,618.03,0.6538,0.6538,0.544,0.5,0.5,0.3281
10,0.8,0.35,0.35,0.2375,0.2979,500.02,2537.35,0.3846,0.3846,0.3333,0.2857,0.2857,0.2321
